Country,NFCR2012,NFCR2013,NFCR2014,NFCR2015,NFCR2016,NFCR2017,NFCR2018,NFCR2019,NFCR2020,CPI2012,CPI2013,CPI2014,CPI2015,CPI2016,CPI2017,CPI2018,CPI2019,CPI2020,AML2012,AML2013,AML2014,AML2015,AML2016,AML2017,AML2018,AML2019,AML2020,ARR2012,ARR2013,ARR2014,ARR2015,ARR2016,ARR2017,ARR2018,ARR2019,ARR2020,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,WES2012,WES2013,WES2014,WES2015,WES2016,WES2017,WES2018,WES2019,WES2020,GE2012,GE2013,GE2014,GE2015,GE2016,GE2017,GE2018,GE2019,GE2020,PV2012,PV2013,PV2014,PV2015,PV2016,PV2017,PV2018,PV2019,PV2020,RQ2012,RQ2013,RQ2014,RQ2015,RQ2016,RQ2017,RQ2018,RQ2019,RQ2020,RL2012,RL2013,RL2014,RL2015,RL2016,RL2017,RL2018,RL2019,RL2020,VA2012,VA2013,VA2014,VA2015,VA2016,VA2017,VA2018,VA2019,VA2020
Guyana,-0.0648%,-0.0595%,-0.0649%,-0.0650%,-0.0488%,-0.0488%,-0.0488%,-0.0488%,-0.0543%,28,27,30,29,34,38,37,40,41,5.17,6.47,6.50,6.46,6.48,6.24,6.12,6.14,5.40,177,200,206,207,235,247,287,315,87,5378.8120,5489.1428,5407.1537,5576.8261,5811.3979,6124.9537,6145.8187,6609.5104,6955.9392,2.7819,3.0119,2.8307,2.9982,3.0121,3.1546,2.6395,2.5012,1.97,-0.1149,-0.1161,-0.2327,-0.3357,-0.3017,-0.2977,-0.2615,-0.3868,-0.4382,-0.4996,-0.4566,-0.1361,-0.1397,-0.0261,-0.0431,-0.1878,-0.2464,-0.1460,-0.6195,-0.6017,-0.5261,-0.5151,-0.4165,-0.3920,-0.5476,-0.6214,-0.5507,-0.5237,-0.5303,-0.6167,-0.5275,-0.3092,-0.2939,-0.3726,-0.4312,-0.4252,-0.0023,0.0212,0.1560,0.1841,0.2536,0.2778,0.2157,0.2552,0.2149
Haiti,-0.8000%,-0.8065%,-0.8130%,-0.8197%,-0.8264%,-0.8333%,-0.8403%,-1.1299%,-0.8571%,19,19,19,17,20,22,20,18,18,8.16,8.09,7.41,7.35,7.32,7.50,7.33,7.34,8.15,959,1064,1128,1190,1153,1262,1333,938,322,1337.3365,1393.9561,1402.1003,1389.1198,1265.9869,1294.2396,1435.3509,1272.4907,1176.7558,3.1416,3.2419,3.4085,3.469,3.4419,3.3392,3.6498,3.8062,4.43,-1.6450,-1.5768,-2.0422,-2.0165,-2.0784,-2.0580,-1.9051,-2.0149,-2.0338,-0.7881,-0.6310,-0.6436,-0.6708,-0.7438,-0.6745,-0.6398,-0.8915,-1.0433,-0.9404,-0.9334,-1.0653,-1.1704,-1.2383,-1.3140,-1.2611,-1.2598,-1.2148,-1.3274,-1.2943,-1.1856,-1.1807,-1.0022,-1.0850,-1.0524,-0.9714,-1.0362,-0.7627,-0.7494,-0.7911,-0.7987,-0.7594,-0.7370,-0.7575,-0.7463,-0.8427
Honduras,-0.3357%,-0.3522%,-0.3380%,-0.3392%,-0.3249%,-0.3259%,-0.3270%,-0.3281%,-0.3292%,28,26,29,31,30,29,29,26,24,6.02,6.08,6.26,6.27,6.04,5.97,5.85,5.76,5.54,1903,1857,2082,2093,2228,2144,2323,2315,669,2144.3424,2102.5924,2206.0544,2302.2044,2342.5849,2453.7271,2510.3229,2574.3568,2405.7328,3.6744,3.9227,3.6464,3.8462,3.8942,4.1163,4.5591,4.108,4.16,-0.6983,-0.7290,-0.8105,-0.8218,-0.7265,-0.5084,-0.6186,-0.6120,-0.5960,-0.3501,-0.4386,-0.5341,-0.4689,-0.4333,-0.5649,-0.5308,-0.5752,-0.5446,-0.1927,-0.1864,-0.3984,-0.3959,-0.5130,-0.4350,-0.4490,-0.4932,-0.4955,-1.1402,-1.1647,-0.9447,-0.9257,-1.1189,-1.0442,-1.0289,-1.0091,-0.9584,-0.4698,-0.4749,-0.4092,-0.4218,-0.4382,-0.4402,-0.5309,-0.5727,-0.6030
Hong Kong,,,,,,,,,,77,75,74,75,77,77,76,76,77,5.51,5.60,5.62,5.52,5.51,5.54,5.18,5.11,4.99,48615,54299,60839,59308,56655,58472,65148,55913,3569,36730.8767,38403.7777,40315.2856,42431.8883,43731.1068,46165.8565,48542.6819,48354.4734,46323.8634,0.7176,0.5883,0.633,0.6463,0.6485,0.6164,0.5965,0.6007,0.59,1.8345,1.7461,1.8329,1.9088,1.8416,1.9054,1.9025,1.7407,1.6624,1.0063,0.9229,1.1532,1.0463,0.7508,0.8295,0.7836,-0.2222,0.0922,1.9483,1.9297,2.0575,2.1899,2.1539,2.1668,2.2260,1.9836,1.7880,1.5803,1.5737,1.8607,1.8255,1.7230,1.7225,1.7715,1.6044,1.5902,0.6397,0.7252,0.5357,0.5148,0.3773,0.4283,0.4401,0.1270,0.0385
Hungary,0.1464%,0.1462%,0.1460%,0.1458%,-0.0970%,-0.0486%,-0.0972%,-0.0486%,-0.0973%,55,54,54,51,48,45,46,44,44,4.29,4.07,4.00,4.06,4.15,5.41,4.92,4.90,4.99,43565,43611,45984,48345,52890,54962,57667,61397,31641,12950.6865,13687.5141,14267.0122,12706.8912,13090.5067,14605.8543,16411.4411,16733.3222,15899.1483,2.6171,2.5345,2.4054,2.3717,2.4291,2.3665,2.3638,2.22,2.3,0.6231,0.6927,0.5941,0.5489,0.5014,0.5279,0.4901,0.4961,0.5809,0.6758,0.7966,0.6699,0.7463,0.6547,0.8066,0.7472,0.7722,0.8638,0.9880,0.9062,0.7520,0.7662,0.6034,0.6519,0.5747,0.6035,0.4817,0.6163,0.5883,0.5098,0.4073,0.4389,0.5663,0.5846,0.5267,0.5129,0.7494,0.7372,0.5533,0.5600,0.4020,0.5369,0.4784,0.3440,0.3899
Iceland,2.2222%,2.1739%,0.0000%,2.1277%,2.0833%,0.0000%,2.0408%,2.0000%,0.0000%,82,78,79,79,78,77,76,78,75,4.18,4.28,4.29,4.24,,4.47,4.59,4.66,4.25,765,900,1102,1389,1891,2353,2488,2202,488,45995.5479,49804.9830,54576.7448,52951.6815,61987.9264,72010.1490,74469.8041,68941.4622,59270.1801,3.3717,3.9461,3.8181,3.1148,2.8571,3.0447,3.3955,3.6911,4.1,1.4909,1.4902,1.4913,1.4917,1.3853,1.4532,1.4643,1.5179,1.5238,1.2450,1.2871,1.2470,1.3082,1.3616,1.3483,1.4064,1.6393,1.3942,1.1193,1.1401,1.2179,1.2737,1.2768,1.4348,1.4155,1.3731,1.4480,1.6849,1.6620,1.7085,1.6672,1.5197,1.6111,1.7198,1.7673,1.7991,1.4430,1.4396,1.3573,1.3765,1.3561,1.3792,1.3776,1.3040,1.3863
India,0.3827%,0.3798%,0.3798%,0.3770%,0.3756%,0.3756%,0.3728%,0.3728%,0.3700%,36,36,38,38,40,40,41,41,40,6.05,5.95,5.64,5.77,5.69,5.58,5.28,5.60,5.15,6578,6968,13107,13284,14570,15543,17423,17914,6337,1443.8824,1449.6105,1573.8856,1605.6054,1732.5542,1980.6670,1996.9151,2100.7515,1900.7068,1.9571,1.8603,2.0257,2.0009,2.2896,2.0744,1.9259,1.9668,1.77,-0.1710,-0.1717,-0.2060,0.0901,0.0749,0.0869,0.2843,0.1709,0.3865,-1.2893,-1.2292,-0.9979,-0.9485,-0.9538,-0.7648,-0.9870,-0.7708,-0.8620,-0.4728,-0.4706,-0.4478,-0.3915,-0.3065,-0.2530,-0.2273,-0.1609,-0.1378,-0.0720,-0.0574,-0.0633,-0.0474,-0.0290,-0.0012,0.0257,-0.0305,-0.0177,0.3995,0.4328,0.4133,0.4279,0.4410,0.3870,0.3520,0.2690,0.1499
Indonesia,-0.9379%,-0.9478%,-0.9558%,-0.9650%,-0.6093%,-0.6130%,-0.6168%,-0.6206%,-0.6245%,32,32,34,36,37,37,38,40,37,6.38,6.33,6.25,6.23,6.23,6.32,5.73,5.13,4.62,8044,8802,9435,10407,11519,14040,15810,16107,4053,3694.3593,3623.9272,3491.6375,3331.6951,3562.8163,3837.5780,3893.8596,4135.2015,3869.5884,1.9681,2.0447,2.1606,2.2097,2.4214,2.3697,2.276,2.4292,2.44,-0.2730,-0.1990,-0.0376,-0.2409,0.0074,0.0384,0.1806,0.1821,0.3692,-0.5933,-0.5193,-0.4168,-0.6151,-0.3730,-0.4979,-0.5459,-0.4934,-0.5002,-0.2788,-0.1954,-0.1077,-0.2176,-0.1223,-0.1052,-0.1470,-0.0944,0.0777,-0.5757,-0.5308,-0.3423,-0.4222,-0.3449,-0.3497,-0.3155,-0.3424,-0.3387,0.0676,0.0361,0.1539,0.1849,0.1679,0.1316,0.1544,0.1321,0.0997
Iran,0.0000%,0.0000%,0.0000%,0.0000%,0.1122%,0.1121%,0.1120%,0.1119%,0.1117%,28,25,27,27,29,30,28,26,25,8.57,8.48,8.56,8.59,8.61,8.60,,,,3834,4769,4968,5237,4942,4867,7295,9107,1550,7927.8449,6018.3229,5585.5256,4904.3273,5253.4266,5520.3148,3598.4835,3114.6228,2282.5519,2.7279,3.5952,3.2716,3.269,3.2412,2.6231,2.556,3.1805,2.34,-0.5259,-0.6772,-0.4274,-0.2092,-0.1916,-0.1961,-0.4327,-0.5537,-0.9894,-1.3239,-1.2497,-0.8750,-0.9257,-0.8131,-0.9340,-1.3479,-1.7069,-1.6679,-1.4251,-1.4934,-1.4580,-1.3116,-1.2294,-1.1980,-1.3758,-1.4232,-1.4589,-0.9158,-0.9959,-1.0565,-0.9235,-0.6792,-0.6824,-0.6935,-0.7496,-0.8671,-1.6002,-1.6084,-1.5807,-1.5136,-1.3430,-1.2999,-1.3341,-1.3870,-1.4807
Ireland,0.9629%,0.9537%,0.9447%,0.9358%,0.6623%,0.7895%,0.6527%,0.7782%,0.6435%,69,72,74,75,73,74,73,74,72,4.52,4.63,3.36,4.27,4.54,4.62,4.58,4.55,4.46,7550,8260,8813,9528,10100,10338,10926,10951,,49028.8274,51518.3881,55525.8973,61987.5510,62818.9664,69601.6839,79068.9746,80886.6157,85267.7647,3.2967,3.1627,3.3407,3.2265,3.1973,3.0223,2.8848,3.0412,2.86,1.5470,1.5114,1.6052,1.5516,1.3646,1.3061,1.4167,1.2918,1.4802,0.9411,0.9011,1.0530,0.9085,0.8478,1.0024,1.0211,0.9664,0.9752,1.5710,1.5829,1.7649,1.8189,1.7410,1.5880,1.6278,1.6020,1.4738,1.7342,1.7174,1.7646,1.7624,1.5022,1.4188,1.4504,1.3835,1.4989,1.3225,1.3117,1.3175,1.3347,1.2910,1.2946,1.2843,1.3051,1.3942
