Country,NFCR2012,NFCR2013,NFCR2014,NFCR2015,NFCR2016,NFCR2017,NFCR2018,NFCR2019,NFCR2020,CPI2012,CPI2013,CPI2014,CPI2015,CPI2016,CPI2017,CPI2018,CPI2019,CPI2020,AML2012,AML2013,AML2014,AML2015,AML2016,AML2017,AML2018,AML2019,AML2020,ARR2012,ARR2013,ARR2014,ARR2015,ARR2016,ARR2017,ARR2018,ARR2019,ARR2020,GDP2012,GDP2013,GDP2014,GDP2015,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,WES2012,WES2013,WES2014,WES2015,WES2016,WES2017,WES2018,WES2019,WES2020,GE2012,GE2013,GE2014,GE2015,GE2016,GE2017,GE2018,GE2019,GE2020,PV2012,PV2013,PV2014,PV2015,PV2016,PV2017,PV2018,PV2019,PV2020,RQ2012,RQ2013,RQ2014,RQ2015,RQ2016,RQ2017,RQ2018,RQ2019,RQ2020,RL2012,RL2013,RL2014,RL2015,RL2016,RL2017,RL2018,RL2019,RL2020,VA2012,VA2013,VA2014,VA2015,VA2016,VA2017,VA2018,VA2019,VA2020
Bangladesh,-0.05%,-0.05%,-0.05%,-0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,26,27,25,25,26,28,26,26,26,6.28,6.34,6.38,6.43,6.4,5.79,5.78,5.8,5.88,160,104,134,126,182,237,267,323,168,883.1171,981.8609,1118.8738,1248.4533,1401.5646,1563.7678,1698.1321,1855.6915,1968.7922,2.2302,2.2215,2.3157,2.3356,2.4856,2.1148,2.0012,1.8804,1.87,-0.8042,-0.7942,-0.7663,-0.7239,-0.6788,-0.7351,-0.7402,-0.7403,-0.7879,-1.3791,-1.6279,-0.8956,-1.212,-1.2619,-1.2561,-0.9957,-0.933,-0.9174,-0.9514,-0.9148,-0.9376,-0.8991,-0.7967,-0.8056,-0.8343,-0.9291,-0.9019,-0.9293,-0.8669,-0.7778,-0.7513,-0.6637,-0.6719,-0.641,-0.6364,-0.5732,-0.4019,-0.4054,-0.4739,-0.512,-0.5839,-0.6151,-0.7473,-0.7418,-0.7691
Barbados,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,76,75,74,,61,68,68,62,64,5.04,5.18,5.17,5.19,,,,,5.87,1053,1079,1079,1179,1227,1345,1356,966,546,16249.6739,16451.2793,16489.0722,16524.8995,16900.0483,17391.6689,17745.2554,18148.4978,15191.164,1.4337,3.719,3.7465,4.5236,4.7626,3.8922,3.8688,4.3234,3.72,1.462,1.3574,1.2046,1.0249,1.0818,0.8446,0.425,0.6311,0.4893,1.186,1.2669,1.2779,1.1354,0.9766,0.9668,0.9134,1.0492,1.1292,0.4535,0.457,0.3386,0.5659,0.4811,0.4947,0.5436,0.4124,0.4802,1.0316,1.0461,1.0824,1.0951,0.7951,0.6604,0.395,0.357,0.3377,1.133,1.1374,1.1451,1.0965,1.0858,1.1136,1.0915,1.1029,1.1318
Belarus,0.00%,0.01%,0.01%,0.01%,0.30%,0.31%,0.31%,0.31%,0.31%,31,29,31,32,40,44,44,45,47,5.42,,5.42,,,,,,,6130,6242,5375,4386,10935,11060,11502,11832,3598,6940.1593,7978.8726,8318.5127,5949.1063,5022.6266,5761.7471,6330.0752,6839.1038,6411.2278,2.0815,2.5784,3.0978,2.8504,2.5483,2.3632,2.4059,2.3768,2.73,-0.9017,-0.8972,-0.4866,-0.4591,-0.4781,-0.3413,-0.2951,-0.1844,-0.7293,0.0686,0.006,0.1798,0.11,0.1423,-0.0535,0.3481,0.3324,-0.7304,-1.0696,-1.0683,-1.0085,-0.9936,-0.9413,-0.7348,-0.6495,-0.5432,-0.6495,-0.937,-0.901,-0.8404,-0.813,-0.7162,-0.8187,-0.8303,-0.7943,-0.9959,-1.5672,-1.5444,-1.4429,-1.4651,-1.3394,-1.356,-1.3667,-1.408,-1.4588
Belgium,0.00%,0.00%,-0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75,75,76,77,77,75,75,75,76,4.22,4.23,3.91,4.58,4.65,4.66,4.46,4.29,3.98,7560,7684,7887,8355,7481,8385,9119,9343,2584,44673.1159,46744.6625,47700.5404,40991.8081,41984.103,44089.3101,47554.7463,46414.4352,44594.3781,2.5607,2.609,2.6219,2.7007,2.7114,2.6628,2.6553,2.5915,2.68,1.6795,1.71,1.5237,1.5603,1.433,1.2788,1.2619,1.1481,1.1243,0.9236,0.9401,0.7013,0.5871,0.4414,0.4282,0.4024,0.4738,0.5906,1.2286,1.2915,1.1578,1.2878,1.3407,1.2469,1.2682,1.2911,1.3507,1.4554,1.4644,1.552,1.4888,1.4299,1.3585,1.3767,1.3741,1.3689,1.3494,1.373,1.3663,1.3874,1.377,1.3385,1.319,1.3102,1.2832
Benin,-1.39%,-1.41%,-1.43%,-1.46%,-1.48%,-1.50%,-1.52%,-1.55%,-1.57%,36,36,39,37,36,39,40,41,41,6.81,7.05,6.62,6.48,6.52,7.37,7.25,7.27,6.85,232,252,265,279,292,307,322,337,354,1145.14,1251.2097,1291.4101,1076.7967,1087.2873,1136.594,1240.831,1219.5155,1291.041,0.9124,2.3157,1.7452,1.4579,1.2215,0.9019,0.9704,1.0351,1.3,-0.5154,-0.4897,-0.4573,-0.6199,-0.5643,-0.6468,-0.5638,-0.4411,-0.2639,0.3644,0.3012,0.0271,-0.0135,-0.002,0.0309,-0.1412,-0.4127,-0.4398,-0.3786,-0.4008,-0.5859,-0.563,-0.5279,-0.4711,-0.3386,-0.376,-0.3722,-0.5856,-0.5687,-0.4881,-0.5361,-0.6088,-0.6261,-0.6733,-0.6638,-0.7279,0.1245,0.1555,0.2663,0.2961,0.4099,0.3822,0.2403,0.0681,-0.0772
Bolivia,-0.40%,-0.40%,-0.40%,-0.41%,-0.46%,-0.46%,-0.46%,-0.47%,-0.47%,34,34,35,34,33,33,29,31,31,7.25,7.3,7.32,7.38,7.29,7.17,6.02,6.01,6.2,798,798,871,882,961,1109,1142,1239,323,2609.8806,2908.2004,3081.8788,3035.9717,3076.6564,3351.1243,3548.5908,3552.0681,3143.0455,2.7815,2.4353,2.4662,2.8639,3.0872,2.9075,3.4057,3.707,3.5,-0.3688,-0.3868,-0.5882,-0.6522,-0.5672,-0.3854,-0.3178,-0.6993,-0.562,-0.4581,-0.3286,-0.3331,-0.2685,-0.2489,-0.278,-0.2871,-0.7301,-0.4677,-0.8236,-0.7769,-0.8703,-0.8858,-0.9241,-0.897,-0.9073,-0.9934,-1.024,-1.016,-1.0465,-1.0553,-1.1411,-1.2008,-1.2049,-1.1452,-1.1214,-1.1516,-0.0816,-0.069,-0.0263,-0.0047,-0.0364,-0.0247,-0.0648,-0.1143,-0.0707
Bosnia and Herzegovina,0.57%,0.52%,0.56%,0.56%,0.23%,0.23%,0.28%,0.23%,0.28%,42,42,39,38,39,38,38,36,35,5.71,5.61,5.61,5.64,5.18,5.91,5.84,5.83,5.63,439,529,536,678,778,923,1053,1198,197,4778.6361,5131.4046,5329.632,4727.2763,4994.689,5394.58,6072.1846,6120.1126,6031.5569,4.1182,4.1023,4.1419,4.4302,4.6107,4.2168,4.4743,4.3385,4.52,-0.4573,-0.435,-0.4516,-0.5455,-0.3936,-0.4827,-0.615,-0.6345,-0.9752,-0.5381,-0.4049,-0.0192,-0.4024,-0.3978,-0.3482,-0.3956,-0.4188,-0.5146,-0.0514,-0.066,-0.0899,-0.1957,-0.1666,-0.1488,-0.2157,-0.1948,-0.2325,-0.2067,-0.1516,-0.1857,-0.2814,-0.2168,-0.2152,-0.2342,-0.2335,-0.3061,-0.1003,-0.1165,-0.071,-0.0981,-0.1312,-0.2058,-0.266,-0.2431,-0.324
Botswana,-0.72%,-0.73%,-0.73%,-0.75%,-0.74%,-0.75%,-0.76%,-0.76%,-0.77%,65,64,63,63,60,61,61,61,60,5.84,5.88,5.84,5.85,5.95,6.02,5.4,5.46,5.06,1614,1544,1966,1660,1712,1775,1830,,358,7050.5735,7224.9127,7780.6348,6799.8702,7243.934,7893.4187,8279.8185,7970.797,6710.9904,2.1988,1.7797,2.2474,2.0428,2.308,2.6248,2.3985,2.4296,2.18,0.4821,0.4141,0.3521,0.5016,0.5295,0.4319,0.333,0.4283,0.2568,1.104,1.1023,1.0118,1.0421,0.9946,1.0225,0.971,1.1111,1.088,0.6109,0.5811,0.5851,0.4389,0.5285,0.465,0.4491,0.3693,0.416,0.6625,0.596,0.6335,0.5961,0.5337,0.5091,0.4653,0.4989,0.4405,0.533,0.4894,0.4354,0.4403,0.3967,0.3884,0.4476,0.5,0.4944
Brazil,-0.30%,-0.30%,-0.30%,-0.30%,-0.29%,-0.29%,-0.29%,-0.29%,-0.29%,43,42,43,38,40,37,35,35,38,5.55,5.4,5.85,5.95,6.23,6.2,4.96,4.97,5.02,5677,5813,6430,6306,6547,6589,6621,6353,2146,12370.0244,12300.3248,12112.5877,8814.0014,8710.0968,9928.6431,9151.4453,8897.4878,6796.8445,1.1876,1.1277,1.1072,1.0735,1.0049,0.9401,0.8339,0.7938,0.8,-0.1283,-0.0931,-0.1397,-0.1844,-0.174,-0.2328,-0.4498,-0.1869,-0.447,0.046,-0.2586,-0.0703,-0.3315,-0.3772,-0.4739,-0.4404,-0.7138,-0.4217,0.0939,0.0734,-0.0782,-0.1927,-0.2073,-0.15,-0.3271,-0.1785,-0.1617,-0.0694,-0.0802,-0.0499,-0.1472,-0.1573,-0.2469,-0.2525,-0.1806,-0.1758,0.4779,0.4174,0.4719,0.4589,0.4518,0.448,0.3603,0.2975,0.2611
Bulgaria,0.51%,0.53%,0.50%,0.50%,0.31%,0.31%,0.31%,0.31%,0.31%,41,41,43,41,41,43,42,43,44,4.24,4.13,3.83,3.79,3.83,3.87,3.53,3.51,3.12,8867,9192,9409,9317,10604,11596,12368,12552,4973,7395.8498,7655.1297,7876.8665,7055.9357,7548.855,8334.0817,9427.7304,9828.1485,9975.78,2.2047,2.3913,2.3793,2.4747,2.4311,2.2821,2.4196,2.4547,2.6,0.0718,0.0734,-0.0001,0.1149,0.2085,0.1929,0.2031,0.2634,-0.0722,0.3798,0.1707,0.0785,0.0173,0.0773,0.332,0.4563,0.5789,0.4725,0.5633,0.5389,0.5683,0.5638,0.6585,0.6258,0.5865,0.5311,0.5189,-0.1038,-0.1302,-0.0764,-0.1256,-0.1052,-0.0883,-0.0698,-0.0063,-0.0871,0.4009,0.3373,0.3665,0.4326,0.4022,0.4298,0.3567,0.3556,0.2601
