"","coef_2019","coef_2014"
"ARR",0.0821350553495839,0.0862081000370279
"WES2019",0.0518527646480182,0.0435788754618752
"PV2019",0.213272909328127,0.150892895427363
"VA2019",-0.078800932361704,0.10999622668577
"RGDP2019",1.31859431863199,-1.1749241838869
